,Biomass,Coal Burning,Industrial Emission,Soil and Construction,Vehicle Emission
0,164Dy,107Ag+208Pb,48Ti+133Cs,48Ti+139La,114Cd
1,166Er,108Pd+208Pb,48Ti+197Au,48Ti+139La+140Ce,120Sn+138Ba+208Pb
2,48Ti+54Fe+140Ce,120Sn+121Sb,48Ti+54Fe+208Pb,48Ti+51V+54Fe,152Sm
3,48Ti+54Fe+63Cu+64Zn+138Ba+140Ce,120Sn+208Pb,48Ti+54Fe+63Cu,48Ti+51V+55Mn+54Fe,158Gd
4,48Ti+54Fe+64Zn+138Ba,139La+140Ce+208Pb,48Ti+54Fe+63Cu+133Cs,48Ti+54Fe+138Ba+139La+140Ce,185Re
5,48Ti+54Fe+64Zn+88Sr+138Ba,208Pb,48Ti+55Mn+54Fe+59Co,48Ti+54Fe+139La+140Ce,48Ti+54Fe+138Ba+208Pb
6,48Ti+54Fe+88Sr+138Ba,48Ti+55Mn+54Fe+120Sn+121Sb+208Pb,48Ti+55Mn+54Fe+59Co+63Cu+208Pb,48Ti+54Fe+88Sr,48Ti+54Fe+64Zn+120Sn
7,48Ti+55Mn+54Fe+64Zn+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+138Ba+208Pb,48Ti+55Mn+54Fe+63Cu+138Ba+208Pb,48Ti+55Mn+54Fe+138Ba,48Ti+55Mn+54Fe+133Cs
8,48Ti+55Mn+54Fe+64Zn+85Rb+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+140Ce+208Pb,48Ti+55Mn+59Co+208Pb,48Ti+55Mn+54Fe+59Co+140Ce,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+138Ba+208Pb
9,48Ti+55Mn+54Fe+64Zn+88Sr+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+121Sb+208Pb,48Ti+88Sr+90Zr,48Ti+55Mn+54Fe+85Rb+138Ba+140Ce,53Cr+55Mn+54Fe
10,48Ti+55Mn+54Fe+88Sr+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+120Sn+208Pb,51V+55Mn+54Fe+208Pb,48Ti+55Mn+54Fe+90Zr,55Mn+69Ga+85Rb+208Pb
11,48Ti+63Cu+140Ce,48Ti+55Mn+54Fe+63Cu+64Zn+140Ce+208Pb,54Fe+107Ag,48Ti+55Mn+90Zr,60Ni+63Cu
12,54Fe+63Cu+64Zn+138Ba,48Ti+55Mn+54Fe+63Cu+64Zn+208Pb,54Fe+139La,48Ti+88Sr+139La+140Ce,60Ni+64Zn
13,54Fe+64Zn+138Ba+140Ce,48Ti+55Mn+54Fe+63Cu+64Zn+90Zr+120Sn+208Pb,55Mn+107Ag,48Ti+89Y,60Ni+64Zn+208Pb
14,54Fe+64Zn+140Ce,48Ti+55Mn+54Fe+64Zn+120Sn+121Sb+140Ce+208Pb,55Mn+54Fe+107Ag,48Ti+89Y+90Zr,63Cu+120Sn+138Ba+208Pb
15,55Mn+63Cu+64Zn+88Sr+138Ba+208Pb,48Ti+55Mn+54Fe+64Zn+120Sn+121Sb+208Pb,55Mn+54Fe+138Ba+208Pb,48Ti+93Nb+138Ba,63Cu+138Ba+208Pb
16,63Cu+64Zn+138Ba,48Ti+55Mn+54Fe+64Zn+120Sn+208Pb,55Mn+54Fe+59Co+63Cu+208Pb,51V+85Rb,63Cu+69Ga+138Ba+208Pb
17,63Cu+64Zn+88Sr+138Ba,48Ti+55Mn+54Fe+64Zn+208Pb,55Mn+54Fe+59Co+63Cu+64Zn+208Pb,54Fe+139La+140Ce,69Ga+138Ba+208Pb
18,63Cu+88Sr,48Ti+55Mn+54Fe+64Zn+90Zr+120Sn+208Pb,55Mn+54Fe+63Cu+107Ag,54Fe+59Co,69Ga+208Pb
19,,48Ti+55Mn+63Cu+64Zn+208Pb,55Mn+54Fe+69Ga+138Ba,54Fe+85Rb,
20,,48Ti+55Mn+64Zn+208Pb,55Mn+54Fe+89Y+90Zr,54Fe+85Rb+138Ba,
21,,53Cr+208Pb,88Sr+138Ba+139La+140Ce+152Sm,54Fe+90Zr+138Ba,
22,,54Fe+120Sn+121Sb+208Pb,,55Mn+138Ba+208Pb,
23,,54Fe+63Cu+208Pb,,55Mn+139La+140Ce,
24,,54Fe+63Cu+64Zn+120Sn+208Pb,,55Mn+54Fe+59Co,
25,,54Fe+64Zn+120Sn+208Pb,,55Mn+59Co+138Ba,
26,,54Fe+64Zn+208Pb,,55Mn+59Co+208Pb,
27,,55Mn+120Sn+208Pb,,55Mn+69Ga+138Ba,
28,,55Mn+121Sb,,55Mn+85Rb+138Ba,
29,,55Mn+208Pb,,55Mn+88Sr,
30,,55Mn+54Fe+121Sb,,55Mn+89Y+90Zr,
31,,55Mn+54Fe+63Cu+64Zn,,69Ga+138Ba,
32,,55Mn+54Fe+63Cu+64Zn+120Sn+140Ce+208Pb,,69Ga+88Sr+138Ba,
33,,55Mn+54Fe+63Cu+64Zn+120Sn+208Pb,,85Rb+138Ba,
34,,55Mn+54Fe+63Cu+64Zn+121Sb+208Pb,,88Sr+138Ba,
35,,55Mn+54Fe+63Cu+64Zn+208Pb,,88Sr+90Zr+138Ba,
36,,55Mn+54Fe+64Zn+120Sn+121Sb,,89Y+90Zr,
37,,55Mn+54Fe+64Zn+120Sn+140Ce+208Pb,,90Zr+139La+140Ce,
38,,55Mn+54Fe+64Zn+120Sn+208Pb,,,
39,,55Mn+54Fe+64Zn+208Pb,,,
40,,55Mn+63Cu+64Zn,,,
41,,55Mn+63Cu+64Zn+208Pb,,,
42,,55Mn+64Zn+120Sn+208Pb,,,
43,,55Mn+64Zn+121Sb,,,
44,,63Cu+120Sn,,,
45,,63Cu+208Pb,,,
46,,63Cu+64Zn+120Sn+208Pb,,,
47,,64Zn+120Sn,,,
48,,64Zn+208Pb,,,
